scientificname (RAM),commonname1 (RAM),FisheryType,taxgroup,ISSCAAP name
Litopenaeus setiferus,White shrimp,Invertebrate,shrimps,"Shrimps, prawns"
Loligo bleekeri,Spear squid,Invertebrate,cephalopods,"Squids, cuttlefishes, octopuses"
Loligo pealeii,Longfin inshore squid,Invertebrate,cephalopods,"Squids, cuttlefishes, octopuses"
Loligo reynaudii,Cape Hope squid,Invertebrate,cephalopods,"Squids, cuttlefishes, octopuses"
Lophius americanus,Monkfish,Other Marine,other marine fish,Miscellaneous demersal fishes
Lophius budegassa,Black bellied angler,Other Marine,other marine fish,Miscellaneous demersal fishes
Lophius litulon,Yellow goosefish,Other Marine,other marine fish,Miscellaneous demersal fishes
Lophius piscatorius,White anglerfish,Other Marine,other marine fish,Miscellaneous demersal fishes
Lopholatilus chamaeleonticeps,Tilefish,Other Marine,other marine percoidids,Miscellaneous demersal fishes
Lutjanus analis,Mutton snapper,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Lutjanus campechanus,Red snapper,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Lutjanus vivanus,Silk snapper,Other Marine,other marine percoidids,Miscellaneous coastal fishes
Macrourus berglax,Roughhead grenadier,Gadids,gadids,"Cods, hakes, haddocks"
Macruronus magellanicus,Patagonian grenadier,Gadids,gadids,"Cods, hakes, haddocks"
Macruronus novaezelandiae,Hoki,Gadids,gadids,"Cods, hakes, haddocks"
Mactromeris polynyma,Arctic surfclam,Invertebrate,bivalves-gastropods,"Clams, cockles, arkshells"
Makaira mazara,Indo-Pacific blue marlin,Tuna and Marlin,tuna-billfish,"Tunas, bonitos, billfishes"
Makaira nigricans,Blue marlin,Tuna and Marlin,tuna-billfish,"Tunas, bonitos, billfishes"
Malacoraja senta,Smooth skate,Sharks Rays and Skates,elasmobranchs,"Sharks, rays, chimaeras"
Mallotus villosus,Capelin,Forage Fish,forage fish,Miscellaneous pelagic fishes
Melanogrammus aeglefinus,Haddock,Gadids,gadids,"Cods, hakes, haddocks"
Merlangius merlangus,Whiting,Gadids,gadids,"Cods, hakes, haddocks"
Merluccius australis,Southern hake,Gadids,gadids,"Cods, hakes, haddocks"
Merluccius bilinearis,Silver Hake,Gadids,gadids,"Cods, hakes, haddocks"
